Nested Sampling Global Log-Evidence           :   -0.382101052641583556E+04  +/-    0.214359287259471593E+00
Nested Importance Sampling Global Log-Evidence:   -0.382104549456740506E+04  +/-    0.324432771385720700E-01

Dim No.       Mean        Sigma
   1    0.226002543468525885E-01    0.486236627663457095E-03
   2    0.117896214119933437E+00    0.302166381600939022E-02
   3    0.686283762268224740E+00    0.163819200743476508E-01
   4    0.927002751330761876E-01    0.123152999910375212E-01
   5    0.972342896176462745E+00    0.122566550741129814E-01
   6    0.311749881242897109E+01    0.247985699254988853E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224666806909442490E-01
   2    0.118288877418414096E+00
   3    0.679410146741249443E+00
   4    0.928361757732266424E-01
   5    0.972660175535358773E+00
   6    0.311959073111744489E+01

MAP Parameters
Dim No.        Parameter
   1    0.224666806909442490E-01
   2    0.118288877418414096E+00
   3    0.679410146741249443E+00
   4    0.928361757732266424E-01
   5    0.972660175535358773E+00
   6    0.311959073111744489E+01
