Nested Sampling Global Log-Evidence           :   -0.537008294492316691E+04  +/-    0.236894075822291439E+00
Nested Importance Sampling Global Log-Evidence:   -0.537047293130727394E+04  +/-    0.208448188785730626E-01

Dim No.       Mean        Sigma
   1    0.222813164104467103E-01    0.233614746544489194E-03
   2    0.119475396133761153E+00    0.221514670331103515E-02
   3    0.680373565206676800E+00    0.100513521620074660E-01
   4    0.773189593358212662E-01    0.190939673072783728E-01
   5    0.966376000813810587E+00    0.620268216094566321E-02
   6    0.308836964244873924E+01    0.364948953226557626E-01
   7    0.100024770948649233E+01    0.228267192428375718E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.221365505178053243E-01
   2    0.120003160515487539E+00
   3    0.676973602849543221E+00
   4    0.743161566473974633E-01
   5    0.965904624745896667E+00
   6    0.309020838001811304E+01
   7    0.100357767361154138E+01

MAP Parameters
Dim No.        Parameter
   1    0.221365505178053243E-01
   2    0.120003160515487539E+00
   3    0.676973602849543221E+00
   4    0.743161566473974633E-01
   5    0.965904624745896667E+00
   6    0.309020838001811304E+01
   7    0.100357767361154138E+01
