Nested Sampling Global Log-Evidence           :   -0.537158338910882321E+04  +/-    0.244919229463936794E+00
Nested Importance Sampling Global Log-Evidence:   -0.537112444165229226E+04  +/-    0.331879068220713613E+00

Dim No.       Mean        Sigma
   1    0.223855708081093577E-01    0.371825514424134473E-03
   2    0.120293897595144153E+00    0.388678564338374583E-02
   3    0.689289372749859020E+00    0.276570932476781772E-01
   4    0.819627890760128569E-01    0.216366124006460575E-01
   5    0.971198696287025376E+00    0.153981762497622191E-01
   6    0.309989213943298481E+01    0.459736259887933083E-01
   7    0.314250352595180837E+01    0.305211871289929715E+00
   8    0.100040391841037812E+01    0.231256173752339032E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224156982879917949E-01
   2    0.118994502400074004E+00
   3    0.692269272031667993E+00
   4    0.770607852306633007E-01
   5    0.972092135980579530E+00
   6    0.308707386353280633E+01
   7    0.311977638993871853E+01
   8    0.999982828862514550E+00

MAP Parameters
Dim No.        Parameter
   1    0.224156982879917949E-01
   2    0.118994502400074004E+00
   3    0.692269272031667993E+00
   4    0.770607852306633007E-01
   5    0.972092135980579530E+00
   6    0.308707386353280633E+01
   7    0.311977638993871853E+01
   8    0.999982828862514550E+00
